,date,Investments,Current Assets,Retirement,Houses,Savings,Available Total,Total
58,2020-02-20,49151.54123278630000000000000,49710.62,499064.166017320,340000,0,98862.16123278630000000000000,937926.3272501063000000000000
59,2020-01-20,49151.54123278630000000000000,52489.13,497926.091187720,320000,0,101640.6712327863000000000000,919566.7624205063000000000000
60,2019-12-20,49151.54123278630000000000000,56735.14,497580.784538520,320000,0,105886.6812327863000000000000,923467.4657713063000000000000
61,2019-11-20,49111.12464464530000000000000,53347.46,495573.107106120,320000,0,102458.5846446453000000000000,918031.6917507653000000000000
62,2019-10-20,49008.40797713530000000000000,52995.81,494375.426010420,320000,0,102004.2179771353000000000000,916379.6439875553000000000000
63,2019-09-20,48990.86947713530000000000000,52788.96,361695.403447475,320000,0,101779.8294771353000000000000,783475.2329246103000000000000
64,2019-08-20,48990.86947713530000000000000,52970.73,360495.864585175,320000,0,101961.5994771353000000000000,782457.4640623103000000000000
65,2019-07-20,48990.86947713530000000000000,54033.33,359278.063526675,320000,0,103024.1994771353000000000000,782302.2630038103000000000000
66,2019-06-20,48978.42547713530000000000000,53491.40,357612.049986775,320000,0,102469.8254771353000000000000,780081.8754639103000000000000
67,2019-05-20,48815.05210776230000000000000,54061.26,355886.342550275,320000,0,102876.3121077623000000000000,778762.6546580373000000000000
68,2019-04-20,48756.73645478930000000000000,51118.58,344653.791450655,320000,0,99875.31645478930000000000000,764529.1079054443000000000000
69,2019-03-20,48814.38795478930000000000000,50930.77,342963.591892755,320000,0,99745.15795478930000000000000,762708.7498475443000000000000
70,2019-02-20,48814.38795478930000000000000,52962.61,341235.939059155,320000,0,101776.9979547893000000000000,763012.9370139443000000000000
71,2019-01-20,48814.38795478930000000000000,50703.83,339487.920897355,305000,0,99518.21795478930000000000000,744006.1388521443000000000000
72,2018-12-20,48814.38795478930000000000000,52646.98,337774.954935555,305000,0,101461.3679547893000000000000,744236.3228903443000000000000
73,2018-11-20,48779.64983584330000000000000,37994.43,336076.360375755,305000,0,86774.07983584330000000000000,727850.4402115983000000000000
74,2018-10-20,48695.74257703330000000000000,38243.21,334376.784354355,305000,0,86938.95257703330000000000000,726315.7369313883000000000000
75,2018-09-20,48695.74257703330000000000000,38203.37,332673.633008555,305000,0,86899.11257703330000000000000,724572.7455855883000000000000
76,2018-08-20,48686.22607703330000000000000,38150.88,331030.613711855,305000,0,86837.10607703330000000000000,722867.7197888883000000000000
77,2018-07-20,48686.22607703330000000000000,38299.93,329417.476415655,305000,0,86986.15607703330000000000000,721403.6324926883000000000000
78,2018-06-20,48673.92207703330000000000000,38577.51,327968.804041855,305000,0,87251.43207703330000000000000,720220.2361188883000000000000
79,2018-05-20,9836.318683217000000000000000,54524.89,326497.733312255,305000,0,64361.20868321700000000000000,695858.9419954720000000000000
80,2018-04-20,9792.821385098000000000000000,58934.75,325049.148568955,305000,0,68727.57138509800000000000000,698776.7199540530000000000000
81,2018-03-20,9784.844885098000000000000000,58567.19,323554.925861255,305000,0,68352.03488509800000000000000,696906.9607463530000000000000
82,2018-02-20,9784.844885098000000000000000,58828.49,322093.354277855,305000,0,68613.33488509800000000000000,695706.6891629530000000000000
83,2018-01-20,9784.844885098000000000000000,58873.03,157838.254347055,290000,0,68657.87488509800000000000000,516496.1292321530000000000000
